Timestamp,Ch1_Bias,Ch1_Derived_Peak,Ch1_Direct,Ch1_Direct RMS,Ch1_Veolocity_Peak,Ch1_Velocity_RMS,Ch2_Bias,Ch2_Derived_Peak,Ch2_Direct,Ch2_Direct_RMS,Ch2_Velocity_Peak,Ch2_Velocity_RMS
7/16/23 1:03,-12.027,0.002,0.002,0.001,0.002,0.001,-11.981,0.001,0.002,0,0.003,0.001
7/16/23 5:56,-12.026,0.001,0.004,0,0.003,0.002,-11.98,0.002,0.004,0.001,0.002,0.002
7/16/23 6:33,-12.026,0.001,0.002,0,0.002,0.002,-11.981,0.001,0.004,0,0.004,0.001
7/16/23 9:08,-12.025,0.002,0.004,0.001,0.004,0.001,-11.979,0.002,0.002,0.001,0.002,0.002
7/16/23 11:04,-12.026,0.008,0.011,0.005,0.016,0.001,-11.98,0.001,0.011,0,0.015,0.001
7/16/23 15:47,-12.027,0.001,0.002,0,0.002,0.008,-11.981,0.007,0.002,0.005,0.002,0.007
7/16/23 16:17,-12.027,0.001,0.004,0,0.007,0.001,-11.98,0.002,0.002,0.002,0.007,0.003
7/16/23 17:19,-12.027,0.002,0.002,0.002,0.002,0.003,-11.982,0.001,0.005,0,0.002,0.001
7/16/23 20:47,-12.027,0.003,0.002,0.002,0.006,0.001,-11.982,0.003,0.002,0.002,0.006,0.001
7/17/23 0:58,-12.026,0.001,0.005,0,0.002,0.003,-11.98,0.001,0.005,0,0.002,0.003
7/17/23 1:26,-12.026,0.001,0.007,0,0.002,0.004,-11.981,0.003,0.007,0.002,0.005,0.001
7/17/23 5:46,-12.025,0.004,0.002,0.003,0.005,0.001,-11.979,0.001,0.002,0,0.002,0.003
7/17/23 7:39,-12.024,0.006,0.002,0.004,0.002,0.001,-11.978,0.007,0.008,0.005,0.008,0.001
7/17/23 10:58,-12.026,0.001,0.007,0,0.008,0.005,-11.98,0.001,0.002,0,0.002,0.006
7/17/23 11:03,-12.025,0.001,0.002,0,0.002,0.005,-11.979,0.001,0.002,0,0.002,0.006
7/17/23 15:32,-12.027,0.006,0.008,0.004,0.009,0.001,-11.981,0.007,0.009,0.005,0.009,0.001
7/17/23 16:20,-12.028,0.004,0.006,0.003,0.009,0.005,-11.982,0.003,0.002,0.002,0.007,0.004
7/17/23 19:57,-12.027,0.001,0.002,0,0.002,0.001,-11.98,0.001,0.006,0,0.002,0.001
7/17/23 20:01,-12.027,0.002,0.002,0.001,0.005,0.003,-11.981,0.002,0.002,0.002,0.006,0.003
7/18/23 0:54,-12.025,0.001,0.005,0,0.002,0.001,-11.979,0.001,0.004,0,0.002,0.001
7/18/23 1:18,-12.026,0.004,0.007,0.003,0.009,0.001,-11.98,0.001,0.002,0,0.002,0.001
7/18/23 5:53,-12.025,0.001,0.002,0,0.002,0.006,-11.978,0.004,0.009,0.003,0.009,0.005
7/18/23 6:13,-12.025,0.001,0.002,0,0.002,0.001,-11.979,0.001,0.008,0,0.002,0.001
7/18/23 6:25,-12.024,0.006,0.006,0.004,0.008,0.005,-11.978,0.007,0.002,0.005,0.009,0.005
7/18/23 11:01,-12.025,0.001,0.002,0,0.002,0.001,-11.978,0.001,0.002,0,0.008,0.001
7/18/23 15:56,-12.028,0.007,0.012,0.005,0.008,0.005,-11.982,0.008,0.013,0.006,0.002,0.006
7/18/23 18:05,-12.028,0.01,0.01,0.007,0.009,0.001,-11.982,0.01,0.011,0.007,0.01,0.008
7/18/23 19:37,-12.027,0.001,0.002,0,0.002,0.009,-11.981,0.001,0.002,0,0.002,0.001
7/18/23 20:28,-12.027,0.012,0.013,0.008,0.002,0.009,-11.982,0.006,0.002,0.004,0.009,0.005
7/19/23 0:53,-12.026,0.001,0.002,0,0.014,0.001,-11.979,0.001,0.007,0,0.002,0.001
7/19/23 1:16,-12.026,0.001,0.002,0,0.002,0.001,-11.98,0.001,0.002,0,0.002,0.001
7/19/23 5:54,-12.024,0.005,0.016,0.004,0.022,0.004,-11.978,0.007,0.012,0.005,0.017,0.005
7/19/23 7:09,-12.024,0.001,0.002,0,0.002,0.001,-11.978,0.001,0.002,0,0.002,0.001
7/19/23 10:56,-12.025,0.006,0.007,0.004,0.008,0.005,-11.98,0.007,0.008,0.005,0.008,0.006
7/19/23 11:28,-12.023,0.088,0.194,0.062,0.092,0.056,-11.978,0.103,0.215,0.073,0.062,0.032
7/19/23 15:59,-12.027,0.001,0.002,0,0.002,0.001,-11.982,0.001,0.002,0,0.002,0.001
7/19/23 16:26,-12.027,0.009,0.015,0.006,0.013,0.009,-11.982,0.001,0.014,0,0.016,0.001
7/19/23 18:49,-12.028,0.001,0.002,0,0.002,0,-11.981,0.01,0.002,0.007,0.002,0.009
7/19/23 20:15,-12.027,0.001,0.003,0,0.002,0.001,-11.982,0.002,0.002,0.001,0.002,0.002
